# RFC8805-For-AS400519
# This file contains a self-published geofeed as defined in https://datatracker.ietf.org/doc/html/rfc8805
# ip_prefix, alpha2code, region, city, postal_code
69.9.176.0/24,US,US-WA,Seattle,
69.9.177.0/24,US,US-CA,Los Angeles,
69.9.178.0/24,US,US-CO,Denver,
69.9.179.0/24,US,US-TX,Dallas,
69.9.180.0/24,US,US-IL,Chicago,
69.9.181.0/24,US,US-NY,New York City,
69.9.184.0/24,GB,GB-LND,London,
69.9.185.0/24,DE,DE-HE,Frankfurt,
69.9.186.0/24,SE,SE-AB,Stockholm,
69.9.187.0/24,PL,PL-14,Warsaw,
69.9.188.0/24,RO,RO-B,Bucharest,
69.9.190.0/24,JP,JP-13,Tokyo,
69.9.191.0/24,AU,AU-NSW,Sydney,
209.25.140.0/24,US,US-FL,Miami,
209.25.141.0/24,ES,ES-MD,Madrid,
209.25.142.0/24,SG,SG-SIN,Singapore,
209.25.143.0/24,IN,IN-MH,Mumbai,
198.22.204.0/24,BR,BR-SP,Sao Paulo,
198.22.205.0/24,CL,CL-RM,Santiago,
23.133.216.0/24,US,US-WA,Seattle,
147.185.221.0/24,,,,
2602:fbaf::/48,,,,
2602:fbaf:804::/48,US,US-CA,Los Angeles,
2602:fbaf:808::/48,US,US-WA,Seattle,
2602:fbaf:80c::/48,US,US-TX,Dallas,
2602:fbaf:810::/48,US,US-FL,Miami,
2602:fbaf:814::/48,US,US-IL,Chicago,
2602:fbaf:824::/48,BR,BR-SP,Sao Paulo,
2602:fbaf:828::/48,ES,ES-MD,Madrid,
2602:fbaf:82c::/48,GB,GB-LND,London,
2602:fbaf:830::/48,DE,DE-HE,Frankfurt,
2602:fbaf:834::/48,PL,PL-14,Warsaw,
2602:fbaf:838::/48,SE,SE-AB,Stockholm,
2602:fbaf:83c::/48,IN,IN-DL,Delhi,
2602:fbaf:840::/48,IN,IN-MH,Mumbai,
2602:fbaf:844::/48,IN,IN-KA,Bangalore,
2602:fbaf:848::/48,SG,SG-SIN,Singapore,
2602:fbaf:84c::/48,JP,JP-13,Tokyo,
2602:fbaf:850::/48,AU,AU-NSW,Sydney,
2602:fbaf:854::/48,CL,CL-RM,Santiago,
2602:fbaf:85c::/48,RO,RO-B,Bucharest,
2602:fbaf:860::/48,US,US-NY,New York City,
2602:fbaf:864::/48,US,US-CO,Denver,
